epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,388.133,1.89037,2.61417,1.38559,0.6818,0.63073,0.65724,0.30227,1.52107,2.13835,1.21769,0.0033321,0.0033321,0.0033321
2,705.488,1.8108,1.72095,1.38278,0.50361,0.60609,0.57734,0.26901,1.4838,2.76885,1.19982,0.00663244,0.00663244,0.00663244
3,1018.7,1.87131,1.83895,1.44791,0.56442,0.54453,0.57624,0.27249,1.58308,2.103,1.3236,0.00989978,0.00989978,0.00989978
4,1331.18,1.90254,1.8417,1.49505,0.59129,0.60203,0.62941,0.29438,1.48647,2.20164,1.28026,0.0098515,0.0098515,0.0098515
5,1644.57,1.83484,1.6989,1.46802,0.55958,0.69843,0.64663,0.3233,1.39961,1.97351,1.22126,0.009802,0.009802,0.009802
6,1956.2,1.79315,1.60723,1.4445,0.66145,0.66652,0.71469,0.35949,1.38737,1.59448,1.20446,0.0097525,0.0097525,0.0097525
7,2267.62,1.75463,1.51565,1.42276,0.75662,0.74188,0.7948,0.4336,1.33883,1.39146,1.17247,0.009703,0.009703,0.009703
8,2580.54,1.72104,1.45939,1.40054,0.69585,0.72668,0.77558,0.42407,1.33326,1.62284,1.17375,0.0096535,0.0096535,0.0096535
9,2893.65,1.70568,1.4162,1.39566,0.79321,0.77502,0.83487,0.45068,1.31407,1.55896,1.16511,0.009604,0.009604,0.009604
10,3206.63,1.68619,1.35812,1.37906,0.74303,0.69034,0.78938,0.43429,1.32587,1.51098,1.16515,0.0095545,0.0095545,0.0095545
11,3520.05,1.69087,1.34763,1.3845,0.7096,0.84546,0.84052,0.46051,1.30298,1.38794,1.16013,0.009505,0.009505,0.009505
12,3833.06,1.65937,1.31265,1.36266,0.83764,0.81121,0.86004,0.45979,1.35947,1.30717,1.16901,0.0094555,0.0094555,0.0094555
13,4145.72,1.6612,1.29823,1.35785,0.7632,0.81064,0.84859,0.46411,1.29396,1.27558,1.13662,0.009406,0.009406,0.009406
14,4457.23,1.62538,1.26166,1.35086,0.86353,0.83062,0.89186,0.50931,1.26231,1.13035,1.13299,0.0093565,0.0093565,0.0093565
15,4769.22,1.62163,1.27022,1.33383,0.79083,0.7754,0.86694,0.50017,1.25407,1.10316,1.12604,0.009307,0.009307,0.009307
16,5081.93,1.61173,1.22309,1.33402,0.84293,0.81671,0.87584,0.50821,1.27012,1.09036,1.128,0.0092575,0.0092575,0.0092575
17,5401.66,1.59388,1.21531,1.31582,0.8799,0.86605,0.91999,0.52918,1.23118,1.0372,1.09775,0.009208,0.009208,0.009208
18,5710.24,1.57761,1.1796,1.31499,0.82482,0.83288,0.88629,0.51632,1.23057,1.04938,1.10309,0.0091585,0.0091585,0.0091585
19,6016.85,1.56586,1.17617,1.30909,0.85155,0.88857,0.8961,0.52341,1.26153,1.11422,1.12067,0.009109,0.009109,0.009109
20,6323.42,1.5738,1.18754,1.30931,0.82163,0.88184,0.90679,0.5414,1.22124,1.08287,1.10086,0.0090595,0.0090595,0.0090595
21,6629.28,1.56967,1.17207,1.30947,0.87753,0.84643,0.90311,0.54563,1.21467,0.99488,1.08611,0.00901,0.00901,0.00901
22,6935.13,1.55514,1.13735,1.29597,0.84766,0.87946,0.90486,0.54866,1.20035,1.14649,1.08056,0.0089605,0.0089605,0.0089605
23,7242.89,1.54741,1.12667,1.29014,0.83558,0.85122,0.90762,0.5587,1.18636,1.03276,1.07041,0.008911,0.008911,0.008911
24,7549.58,1.54692,1.12763,1.29722,0.8644,0.88936,0.92709,0.56984,1.17227,1.13968,1.05695,0.0088615,0.0088615,0.0088615
25,7856.96,1.53784,1.11275,1.28495,0.86838,0.88513,0.91848,0.56607,1.1811,1.00368,1.05721,0.008812,0.008812,0.008812
26,8163.67,1.5265,1.12086,1.28567,0.88987,0.88052,0.91608,0.56023,1.1769,1.06778,1.06875,0.0087625,0.0087625,0.0087625
27,8469.3,1.52459,1.10927,1.28095,0.86737,0.87129,0.91562,0.56865,1.15397,1.03766,1.05179,0.008713,0.008713,0.008713
