model_name,conf_threshold,iou_threshold,precision,recall,f1_score,accuracy,avg_iou,avg_dice,num_detections,total_examples,tp,fp,fn,tn
best,0.25,0.5,0.9954954954954955,0.9977426636568849,0.9966178128523112,0.9946996466431095,0.829751685159794,0.8999314725619425,442,596,442,2,1,121
best,0.25,0.75,0.9941860465116279,0.9970845481049563,0.9956331877729258,0.9935622317596566,0.8802000950369765,0.9335313629331716,342,596,342,2,1,121
best,0.25,0.95,0.9565217391304348,0.9777777777777777,0.967032967032967,0.9821428571428571,0.9664525076895845,0.9825812390243353,44,596,44,2,1,121
best,0.5,0.5,0.9973614775725593,0.8235294117647058,0.9021479713603818,0.8591065292096219,0.8476473456719308,0.9117674442557451,378,596,378,1,81,122
best,0.5,0.75,0.9968152866242038,0.7944162436548223,0.884180790960452,0.8413926499032882,0.8848821964887919,0.9363291706210236,313,596,313,1,81,122
best,0.5,0.95,0.9777777777777777,0.352,0.5176470588235293,0.6693548387096774,0.9664525076895845,0.9825812390243353,44,596,44,1,81,122
best,0.75,0.5,0.9958677685950413,0.510593220338983,0.6750700280112045,0.6100840336134454,0.8816808110840342,0.9337877022815958,241,596,241,1,231,122
best,0.75,0.75,0.9955357142857143,0.4911894273127753,0.6578171091445427,0.5979202772963604,0.8966765548895022,0.9434080208127181,223,596,223,1,231,122
best,0.75,0.95,0.975,0.14444444444444443,0.25161290322580643,0.40966921119592875,0.965278853706076,0.9819783430936309,39,596,39,1,231,122
best,0.95,0.5,0.0,0.0,0.0,0.2063758389261745,0.0,0.0,0,596,0,0,473,123
best,0.95,0.75,0.0,0.0,0.0,0.2063758389261745,0.0,0.0,0,596,0,0,473,123
best,0.95,0.95,0.0,0.0,0.0,0.2063758389261745,0.0,0.0,0,596,0,0,473,123
bs4_100,0.25,0.5,0.9955849889624724,0.9955849889624724,0.9955849889624724,0.9930555555555556,0.8142378209279462,0.8902795278851418,451,596,451,2,2,121
bs4_100,0.25,0.75,0.9941520467836257,0.9941520467836257,0.9941520467836257,0.9913978494623656,0.8667527501235638,0.9255724811654166,340,596,340,2,2,121
bs4_100,0.25,0.95,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.9746835443037974,0.9679139209646918,0.9834322414565766,33,596,33,2,2,121
bs4_100,0.5,0.5,0.9938837920489296,0.69593147751606,0.818639798488665,0.7559322033898305,0.8467591859288254,0.9118887791409025,325,596,325,2,142,121
bs4_100,0.5,0.75,0.9929078014184397,0.6635071090047393,0.7954545454545454,0.7357798165137615,0.8749945481805822,0.9305374159932583,280,596,280,2,142,121
bs4_100,0.5,0.95,0.9375,0.1744186046511628,0.29411764705882354,0.511864406779661,0.9683377916936396,0.9836821741976222,30,596,30,2,142,121
bs4_100,0.75,0.5,1.0,0.4080338266384778,0.5795795795795796,0.5302013422818792,0.8770431960909121,0.9310958766381364,193,596,193,0,280,123
bs4_100,0.75,0.75,1.0,0.387308533916849,0.5583596214511041,0.5172413793103449,0.893575927834939,0.9416958180086628,177,596,177,0,280,123
bs4_100,0.75,0.95,1.0,0.09090909090909091,0.16666666666666669,0.3503480278422274,0.9685493406578501,0.9838079403013028,28,596,28,0,280,123
bs4_100,0.95,0.5,0.0,0.0,0.0,0.2063758389261745,0.0,0.0,0,596,0,0,473,123
bs4_100,0.95,0.75,0.0,0.0,0.0,0.2063758389261745,0.0,0.0,0,596,0,0,473,123
bs4_100,0.95,0.95,0.0,0.0,0.0,0.2063758389261745,0.0,0.0,0,596,0,0,473,123
bs4_200,0.25,0.5,0.9955654101995566,0.9977777777777778,0.9966703662597114,0.9947643979057592,0.8293547092786479,0.899835213792646,449,596,449,2,1,121
bs4_200,0.25,0.75,0.994269340974212,0.9971264367816092,0.9956958393113342,0.9936305732484076,0.878405527036307,0.932342929511163,347,596,347,2,1,121
bs4_200,0.25,0.95,0.9629629629629629,0.9811320754716981,0.9719626168224299,0.9829545454545454,0.966039877902362,0.9824086990211417,52,596,52,2,1,121
bs4_200,0.5,0.5,0.9972067039106145,0.7760869565217391,0.8728606356968216,0.8216123499142367,0.8526548853878955,0.9153384568715983,357,596,357,1,103,122
bs4_200,0.5,0.75,0.9967105263157895,0.7463054187192119,0.8535211267605634,0.8034026465028355,0.8826557204652465,0.9348653589219513,303,596,303,1,103,122
bs4_200,0.5,0.95,0.98,0.3223684210526316,0.48514851485148514,0.6218181818181818,0.9654532462211121,0.9821084265673028,49,596,49,1,103,122
bs4_200,0.75,0.5,1.0,0.46723044397463004,0.6368876080691643,0.5771812080536913,0.882491064475334,0.9341456833256193,221,596,221,0,252,123
bs4_200,0.75,0.75,1.0,0.4497816593886463,0.6204819277108433,0.5662650602409639,0.8963437941424922,0.9430117472472896,206,596,206,0,252,123
bs4_200,0.75,0.95,1.0,0.15436241610738255,0.26744186046511625,0.4014251781472684,0.9648731713032435,0.9818115625707644,46,596,46,0,252,123
bs4_200,0.95,0.5,0.0,0.0,0.0,0.2063758389261745,0.0,0.0,0,596,0,0,473,123
bs4_200,0.95,0.75,0.0,0.0,0.0,0.2063758389261745,0.0,0.0,0,596,0,0,473,123
bs4_200,0.95,0.95,0.0,0.0,0.0,0.2063758389261745,0.0,0.0,0,596,0,0,473,123
