epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,13208.8,1.41258,0.96281,1.22005,0.89185,0.92201,0.94734,0.62069,1.07162,0.88055,0.99936,0.005842,0.005842,0.005842
44,13515.4,1.39842,0.95743,1.21342,0.90342,0.91389,0.94897,0.62418,1.0636,0.83986,0.99374,0.005743,0.005743,0.005743
45,13821.2,1.39694,0.94475,1.21081,0.91536,0.91767,0.95391,0.62427,1.07347,0.92722,0.99398,0.005644,0.005644,0.005644
46,14125.6,1.39246,0.93632,1.20703,0.89294,0.90999,0.94172,0.63177,1.06126,0.8913,0.99408,0.005545,0.005545,0.005545
47,14428.4,1.3843,0.94188,1.20587,0.89573,0.92588,0.95039,0.63084,1.06152,0.88274,0.99546,0.005446,0.005446,0.005446
48,14733.5,1.37746,0.93671,1.20627,0.90645,0.91499,0.95272,0.64341,1.04677,0.87944,0.98471,0.005347,0.005347,0.005347
49,15038.9,1.38751,0.93516,1.20195,0.90057,0.91831,0.94878,0.64702,1.03648,0.87526,0.9792,0.005248,0.005248,0.005248
50,15343.3,1.3662,0.93006,1.19683,0.91274,0.91402,0.94935,0.64839,1.03649,0.86073,0.97851,0.005149,0.005149,0.005149
51,15648.7,1.35799,0.91698,1.19173,0.89909,0.92256,0.94655,0.63382,1.04036,0.88699,0.9793,0.00505,0.00505,0.00505
52,15953.9,1.35832,0.92459,1.19384,0.91057,0.92658,0.94984,0.64064,1.02881,0.87901,0.97551,0.004951,0.004951,0.004951
53,16258.6,1.36202,0.92212,1.18974,0.90307,0.93206,0.95383,0.65008,1.01663,0.84981,0.96921,0.004852,0.004852,0.004852
54,16562.9,1.33229,0.8989,1.16988,0.91289,0.93619,0.95747,0.65527,1.00554,0.83844,0.96263,0.004753,0.004753,0.004753
55,16869.4,1.34365,0.9051,1.18494,0.90567,0.92626,0.95931,0.65757,1.0088,0.83724,0.96545,0.004654,0.004654,0.004654
56,17176.2,1.34024,0.89219,1.17858,0.91794,0.92838,0.95525,0.65297,1.0079,0.81382,0.96701,0.004555,0.004555,0.004555
57,17482.4,1.33296,0.88465,1.17607,0.9188,0.92392,0.9573,0.65637,1.00473,0.80192,0.9629,0.004456,0.004456,0.004456
58,17788,1.3378,0.88808,1.18314,0.91863,0.93424,0.96013,0.65903,1.00707,0.80321,0.96242,0.004357,0.004357,0.004357
59,18092.6,1.31276,0.8725,1.1656,0.91726,0.92758,0.96296,0.65754,1.01201,0.80145,0.96154,0.004258,0.004258,0.004258
60,18396.2,1.31434,0.86825,1.16535,0.928,0.92945,0.95857,0.6536,1.01453,0.78849,0.96346,0.004159,0.004159,0.004159
61,18699.7,1.31457,0.87787,1.16554,0.92611,0.93786,0.95825,0.65945,1.01154,0.76991,0.96177,0.00406,0.00406,0.00406
62,19005.4,1.29924,0.8643,1.16148,0.92433,0.93397,0.95901,0.65985,1.00377,0.75879,0.9609,0.003961,0.003961,0.003961
63,19311.1,1.29602,0.85734,1.16589,0.92997,0.9325,0.9551,0.66253,0.99165,0.77439,0.95565,0.003862,0.003862,0.003862
64,19617.7,1.29651,0.85758,1.16232,0.93471,0.93726,0.96104,0.66588,0.99275,0.79913,0.95498,0.003763,0.003763,0.003763
65,19924.5,1.2884,0.85666,1.15427,0.92884,0.93841,0.96117,0.66638,0.99344,0.79275,0.95417,0.003664,0.003664,0.003664
66,20229.6,1.28279,0.84683,1.15251,0.92534,0.9334,0.96254,0.66711,0.99276,0.79301,0.9526,0.003565,0.003565,0.003565
67,20533.8,1.27007,0.84263,1.15225,0.92092,0.9334,0.96171,0.66501,0.99162,0.79683,0.95219,0.003466,0.003466,0.003466
68,20837.8,1.28777,0.85584,1.14894,0.93579,0.93191,0.96246,0.66822,0.98791,0.80073,0.94902,0.003367,0.003367,0.003367
69,21144.9,1.26704,0.83222,1.14381,0.93135,0.9323,0.96282,0.66683,0.98413,0.79718,0.94633,0.003268,0.003268,0.003268
70,21449.7,1.25639,0.83008,1.14403,0.92675,0.93726,0.96319,0.66967,0.98424,0.79149,0.94649,0.003169,0.003169,0.003169
71,21754.8,1.26075,0.82967,1.13945,0.91938,0.93727,0.9573,0.67102,0.98493,0.78878,0.94751,0.00307,0.00307,0.00307
72,22061.9,1.26103,0.82053,1.13595,0.91881,0.93615,0.95825,0.6735,0.98365,0.78833,0.94709,0.002971,0.002971,0.002971
73,22367.2,1.25239,0.80284,1.13048,0.92745,0.94275,0.96292,0.67487,0.97986,0.78586,0.94527,0.002872,0.002872,0.002872
74,22672.2,1.24596,0.80757,1.13214,0.92941,0.94286,0.96325,0.67856,0.97861,0.78281,0.94453,0.002773,0.002773,0.002773
